year,name,uid,pdf
2017,Head of the Schuylkill - Saturday,0B29359DA3B682EE7163960DFC4B5C51,data/raw/row2k\2017_head_of_the_schuylkill_saturday.pdf
2017,Head of the Schuylkill - Saturday,CBF0E72F128DCE02466AE818830258E1,data/raw/row2k\2017_head_of_the_schuylkill_saturday.pdf
2017,Richmond Chase,9313315B70481DD56CEF54DAC7061309,data/raw/row2k\2017_richmond_chase.pdf
2017,Head of the Charles - Sunday,B20B7638662E531F88E007247D313298,data/raw/row2k\2017_head_of_the_charles_sunday.pdf
2017,Head of the Charles - Saturday,F95C10A4A6779316A09D1E7A1DD0C0BD,data/raw/row2k\2017_head_of_the_charles_saturday.pdf
2017,Head of the Passaic,9481313DAFFE5DF61F45097E842E9948,data/raw/row2k\2017_head_of_the_passaic.pdf
2017,Head of the Quinobequin,54CCE62E57CFD20BE56EEF4F45A4B48D,data/raw/row2k\2017_head_of_the_quinobequin.pdf
2017,American Lake Fall Classic,08DAE4959C0F8D912F4E01B5B352617B,data/raw/row2k\2017_american_lake_fall_classic.pdf
2017,Head of the Port,0C97005C08D611EC9A1CBE93B33401B4,data/raw/row2k\2017_head_of_the_port.pdf
2017,"Head of the Spokane: Gonzaga, Washington State",9FDE073877A7D02F77B86559F520281D,
2017,"Head of the Spokane: Gonzaga, Washington State",98F6084D9DB86FCA4A34266E45E71D40,
2017,Head of the Brazos,E3C201334B93E15B8BBABC22F36E2952,data/raw/row2k\2017_head_of_the_brazos.pdf
2017,Head of the James,E6BFCEA742C025DD7AEDECB4B5D6CC21,data/raw/row2k\2017_head_of_the_james.pdf
2017,Hadley Chase,6921BB02ED0D3294FBC432949D6191A0,data/raw/row2k\2017_hadley_chase.pdf
2017,Mohawk Fall Classic Regatta,816ADBDE95027BC3139A725A078C158F,data/raw/row2k\2017_mohawk_fall_classic_regatta.pdf
2017,Head of the Oklahoma - Sunday,367C0B7DF57092A23BDA56E9710D27AF,data/raw/row2k\2017_head_of_the_oklahoma_sunday.pdf
2017,Tail of the Passaic,0C8964217D4F49D60A46B68CA91764BD,data/raw/row2k\2017_tail_of_the_passaic.pdf
2017,Head of the Rock,060FB0FA36FE8F12BF078C8AF20F8EA1,data/raw/row2k\2017_head_of_the_rock.pdf
2017,Head of the Ohio - Sunday,BDCC7717DA309DD70DBFE4A0A4843955,data/raw/row2k\2017_head_of_the_ohio_sunday.pdf
2017,Head of the Housatonic,828638A7094C1646E91787CAA1AB15D5,data/raw/row2k\2017_head_of_the_housatonic.pdf
2017,Head of the Ohio - Saturday,CF945EDF77E39A521FEA3B2EE45AEAFD,data/raw/row2k\2017_head_of_the_ohio_saturday.pdf
2017,Head of the Oklahoma - Saturday,CF032EA23319871F817E5D401E1D7D34,data/raw/row2k\2017_head_of_the_oklahoma_saturday.pdf
2017,Tail of the Lake,77BAFE39E51AB62861BDA3CC6CB0246F,data/raw/row2k\2017_tail_of_the_lake.pdf
2017,Head of the Christina,C8FE9A361D62B6D57414514326BCB404,data/raw/row2k\2017_head_of_the_christina.pdf
2017,Tail of the Fox,4D3A34EB5F02F3383FD4201272C521DE,data/raw/row2k\2017_tail_of_the_fox.pdf
2017,Tail of the Fish,2D30A805705441B6CD3B639665FD2059,
2017,The Hoover - Columbus Fall Classic,415EB91B474415909A8C376B397D2A6B,data/raw/row2k\2017_the_hoover_columbus_fall_classic.pdf
2017,Tail of the Tiger,BBAE3EC0A0478CFF234B472710F10CCF,data/raw/row2k\2017_tail_of_the_tiger.pdf
2017,Kings Head XXXI Regatta on the Schuylkill,361CE62E126FCE0499D375E9674BA64C,data/raw/row2k\2017_kings_head_xxxi_regatta_on_the_schuylkil.pdf
2017,Head of the Merrimack Regatta,529997BCA18B92CB52896D83F1AD7C92,data/raw/row2k\2017_head_of_the_merrimack_regatta.pdf
2017,Head of the River,A0980041393907F0ADCD37636EF57759,data/raw/row2k\2017_head_of_the_river.pdf
2017,Head of the Androscoggin,D27619D76F908D0748D2F02BD48DE4CE,data/raw/row2k\2017_head_of_the_androscoggin.pdf
2017,CRI Fall Classic,C7E3E9E000C0F475A8EA6F0CF530F022,data/raw/row2k\2017_cri_fall_classic.pdf
2017,Head of the Cuyahoga,6A60E1F26ABB8EE856822A624DE29DED,data/raw/row2k\2017_head_of_the_cuyahoga.pdf
2017,Muskoka Fall Classic,8EA090F2F7D2087FC00631F23616223F,data/raw/row2k\2017_muskoka_fall_classic.pdf
