lon,lat,depth_m
-71.072004,42.367223,7.315
-71.071901,42.367207,7.315
-71.071787,42.367081,7.315
-71.071943,42.367050,7.315
-71.072018,42.367207,7.315
-71.072028,42.366806,7.315
-71.071981,42.366729,7.315
-71.072065,42.366756,7.315
-71.068908,42.367318,7.315
-71.068930,42.367369,7.315
-71.072502,42.367675,7.315
-71.072526,42.367692,7.315
-71.075268,42.363417,7.315
-71.074966,42.363528,7.315
-71.074614,42.363344,7.315
-71.074300,42.363309,7.315
-71.074227,42.363597,7.315
-71.074052,42.363768,7.315
-71.073869,42.364119,7.315
-71.073732,42.364515,7.315
-71.073533,42.364911,7.315
-71.073431,42.365208,7.315
-71.073313,42.365541,7.315
-71.073143,42.365784,7.315
-71.072946,42.365919,7.315
-71.072809,42.366207,7.315
-71.072574,42.366385,7.315
-71.072198,42.366289,7.315
-71.071959,42.366081,7.315
-71.072077,42.365915,7.315
-71.072345,42.365604,7.315
-71.072571,42.365244,7.315
-71.072715,42.364929,7.315
-71.072971,42.364479,7.315
-71.073184,42.364227,7.315
-71.073594,42.363625,7.315
-71.073763,42.363390,7.315
-71.073667,42.363260,7.315
-71.073524,42.363119,7.315
-71.073679,42.362919,7.315
-71.074043,42.363036,7.315
-71.074444,42.363052,7.315
-71.074703,42.362948,7.315
-71.074905,42.362769,7.315
-71.075177,42.362867,7.315
-71.075293,42.363056,7.315
-71.077722,42.357700,7.315
-71.077528,42.357907,7.315
-71.077309,42.358085,7.315
-71.077091,42.358283,7.315
-71.076897,42.358330,7.315
-71.076726,42.358448,7.315
-71.076528,42.358492,7.315
-71.076588,42.358627,7.315
-71.076673,42.358771,7.315
-71.076609,42.358942,7.315
-71.076612,42.359050,7.315
-71.076993,42.358996,7.315
-71.077077,42.359023,7.315
-71.077037,42.359104,7.315
-71.076777,42.359266,7.315
-71.076532,42.359305,7.315
-71.076347,42.359392,7.315
-71.076204,42.359690,7.315
-71.075960,42.359834,7.315
-71.076009,42.359987,7.315
-71.075853,42.360068,7.315
-71.075864,42.360221,7.315
-71.075634,42.360329,7.315
-71.075467,42.360581,7.315
-71.075087,42.360671,7.315
-71.074990,42.360643,7.315
-71.074930,42.360401,7.315
-71.075012,42.360158,7.315
-71.075338,42.359951,7.315
-71.075348,42.359681,7.315
-71.075656,42.359329,7.315
-71.075969,42.358987,7.315
-71.075838,42.358780,7.315
-71.075822,42.358699,7.315
-71.075897,42.358609,7.315
-71.075910,42.358330,7.315
-71.075977,42.358105,7.315
-71.075949,42.357898,7.315
-71.076181,42.357691,7.315
-71.076261,42.357592,7.315
-71.076076,42.357466,7.315
-71.076095,42.357322,7.315
-71.076326,42.357087,7.315
-71.076475,42.356962,7.315
-71.076726,42.356951,7.315
-71.077030,42.356771,7.315
-71.077358,42.356711,7.315
-71.077606,42.356890,7.315
-71.077667,42.357214,7.315
-71.077563,42.357349,7.315
-71.077695,42.357529,7.315
-71.084995,42.355683,7.315
-71.084877,42.355908,7.315
-71.084375,42.355926,7.315
-71.084145,42.355971,7.315
-71.084195,42.356233,7.315
-71.084071,42.356370,7.315
-71.083659,42.356565,7.315
-71.083319,42.356525,7.315
-71.082784,42.356475,7.315
-71.082566,42.356387,7.315
-71.082262,42.356343,7.315
-71.081898,42.356252,7.315
-71.081668,42.356143,7.315
-71.081461,42.356126,7.315
-71.081218,42.355967,7.315
-71.080830,42.355934,7.315
-71.080575,42.355893,7.315
-71.080660,42.355804,7.315
-71.081085,42.355659,7.315
-71.081485,42.355680,7.315
-71.081740,42.355816,7.315
-71.081971,42.355793,7.315
-71.082165,42.355832,7.315
-71.082384,42.355825,7.315
-71.082663,42.355873,7.315
-71.082979,42.355843,7.315
-71.083379,42.355847,7.315
-71.083447,42.355773,7.315
-71.083377,42.355620,7.315
-71.083513,42.355501,7.315
-71.083926,42.355380,7.315
-71.084120,42.355489,7.315
-71.084666,42.355368,7.315
-71.084812,42.355384,7.315
-71.085003,42.355611,7.315
-71.086689,42.354180,7.315
-71.086561,42.354234,7.315
-71.086672,42.354234,7.315
-71.089442,42.353847,7.315
-71.089267,42.353976,7.315
-71.088830,42.353976,7.315
-71.088308,42.354185,7.315
-71.087835,42.354337,7.315
-71.087337,42.354529,7.315
-71.086864,42.354680,7.315
-71.086244,42.354869,7.315
-71.085771,42.355019,7.315
-71.085565,42.355315,7.315
-71.085431,42.355368,7.315
-71.085167,42.355188,7.315
-71.085067,42.354999,7.315
-71.084918,42.354873,7.315
-71.085102,42.354711,7.315
-71.085506,42.354414,7.315
-71.085759,42.354031,7.315
-71.086140,42.353712,7.315
-71.086621,42.353681,7.315
-71.086936,42.353635,7.315
-71.087082,42.353910,7.315
-71.087216,42.354013,7.315
